Ticker,Name,Type,Shares,Buy rate ($/unit),Current rate ($/unit),Cost basis,Current value,Total profit,Today Gain,Today Gain (%)
VOO,Vanguard S&P 500 ETF,ETF,0.012,501.02,511.3699951171875,6.01224,6.13643994140625,0.12419994140624979,-0.053280058593749346,-0.860783017547633
SMH,VanEck Semiconductor ETF,ETF,0.007,266.48,270.9599914550781,1.8653600000000001,1.896719940185547,0.031359940185546886,-0.072170059814453,-3.6655201567610685
VOO,Vanguard S&P 500 ETF,ETF,0.521,503.6,511.3699951171875,262.3756,266.4237674560547,4.048167456054671,-2.313242543945284,-0.860783017547633
SMH,VanEck Semiconductor ETF,ETF,0.41,274.06,270.9599914550781,112.3646,111.09359649658202,-1.2710035034179725,-4.227103503417961,-3.6655201567610685
NVDA,NVIDIA Corporation,EQUITY,0.739,131.76,127.45999908447266,97.37064,94.19293932342529,-3.177700676574702,-5.505550676574704,-5.522200663796116
MSFT,Microsoft Corporation,EQUITY,0.167,448.34,454.7099914550781,74.87278,75.93656857299806,1.0637885729980496,-1.9271814270019532,-2.4750688568197052
XMHQ,Invesco S&P MidCap Quality ETF,ETF,1.0,102.94,99.22000122070312,102.94,99.22000122070312,-3.7199987792968727,2.440001220703124,2.5211833237271377
XMHQ,Invesco S&P MidCap Quality ETF,ETF,0.092,0.0,99.22000122070312,0.0,9.128240112304688,9.128240112304688,0.2244801123046874,2.5211833237271377
AAPL,Apple Inc.,EQUITY,0.412,218.26,227.5500030517578,89.92312,93.75060125732422,3.827481257324223,-2.237158742675777,-2.3306708508207477
NVDA,NVIDIA Corporation,EQUITY,2.0,119.86,127.45999908447266,239.72,254.9199981689453,15.199998168945314,-14.90000183105468,-5.522200663796116
AAPL,Apple Inc.,EQUITY,0.272,183.97,227.5500030517578,50.039840000000005,61.89360083007813,11.853760830078123,-1.4769591699218723,-2.3306708508207477
AMZN,"Amazon.com, Inc.",EQUITY,3.0,196.29,195.05499267578125,588.87,585.1649780273438,-3.7050219726562545,-14.205021972656226,-2.369992153870936
SCHG,Schwab U.S. Large-Cap Growth ET,ETF,2.0,101.63,103.54000091552734,203.26,207.0800018310547,3.8200018310546966,-4.299998168945308,-2.0342502455035048
FLIN,Franklin FTSE India ETF,ETF,5.0,39.4,40.70000076293945,197.0,203.50000381469727,6.500003814697266,0.6500038146972642,0.3204356986429698
GOOGL,Alphabet Inc.,EQUITY,0.285,175.33,185.5500030517578,49.969049999999996,52.881750869750974,2.912700869750978,-1.6045491302490253,-2.9448671138415072
VOO,Vanguard S&P 500 ETF,ETF,0.481,502.89,511.3699951171875,241.89009,245.96896765136717,4.078877651367179,-2.135642348632786,-0.860783017547633
SMH,VanEck Semiconductor ETF,ETF,0.59,268.41,270.9599914550781,158.36190000000002,159.86639495849607,1.5044949584960534,-6.082905041503895,-3.6655201567610685
UPRO,ProShares UltraPro S&P 500,ETF,1.0,78.35,81.73999786376953,78.35,81.73999786376953,3.389997863769537,-2.1800021362304705,-2.597714652324202
HD,"Home Depot, Inc. (The)",EQUITY,1.0,338.84,353.57000732421875,338.84,353.57000732421875,14.730007324218775,9.390007324218743,2.728225731948034
SIRI,Sirius XM Holdings Inc.,EQUITY,9.405,3.19,3.6301000118255615,30.001949999999997,34.141090611219404,4.139140611219407,1.129540611219408,3.4216527585630123
DELL,Dell Technologies Inc.,EQUITY,3.025,146.98,140.77000427246094,444.61449999999996,425.8292629241943,-18.78523707580564,-15.124987075805695,-3.430058124126413
AMZN,"Amazon.com, Inc.",EQUITY,1.91132,198.82,195.05499267578125,380.0086424,372.8125086010742,-7.196133798925757,-9.050114198925765,-2.369992153870936
VTI,Vanguard Total Stock Market ETF,ETF,1.0,0.01,273.82000732421875,0.01,273.82000732421875,273.81000732421876,-1.2399926757812523,-0.4508080694325792
